txn_id,timestamp,source_account,destination_account,amount,source_country,destination_country,sar_linked
T00136,2026-02-02T09:00:00,B1201,B1202,251.32,GB,GB,0
T00137,2026-02-02T17:00:00,B1202,B1203,1182.47,GB,GB,0
T00138,2026-02-03T01:00:00,B1203,B1204,1647.14,GB,GB,0
T00139,2026-02-03T09:00:00,B1301,B1302,2134.95,GB,GB,0
T00140,2026-02-03T17:00:00,B1302,B1303,2377.79,GB,GB,0
T00141,2026-02-04T01:00:00,B1303,B1304,1761.21,GB,GB,0
T00142,2026-02-04T09:00:00,B1401,B1402,1687.02,GB,GB,0
T00143,2026-02-04T17:00:00,B1402,B1403,944.53,GB,GB,0
T00144,2026-02-05T01:00:00,B1403,B1404,1787.86,GB,GB,0
T00145,2026-02-05T09:00:00,B1501,B1502,3178.84,GB,GB,0
T00146,2026-02-05T17:00:00,B1502,B1503,2837.08,GB,GB,0
T00147,2026-02-06T01:00:00,B1503,B1504,801.5,GB,GB,0
T00148,2026-02-06T09:00:00,B1601,B1602,525.59,GB,GB,0
T00149,2026-02-06T17:00:00,B1602,B1603,1925.22,GB,GB,0
T00150,2026-02-07T01:00:00,B1603,B1604,2307.06,GB,GB,0
T00151,2026-02-07T09:00:00,B1701,B1702,1339.36,GB,GB,0
T00152,2026-02-07T17:00:00,B1702,B1703,2909.88,GB,GB,0
T00153,2026-02-08T01:00:00,B1703,B1704,2691.2,GB,GB,0
